cpu-bind=MASK - cn1301, task  0  0 [2720273]: mask |BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB||||BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|BBBBBBBB|  set
cpu-bind=MASK - cn1304, task 312 24 [2800997]: mask |--------|--------|--------|--------|BB------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 212 20 [2739914]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|BB------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 131 35 [2516398]: mask |--------|--------|------BB|--------|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  3  3 [2720695]: mask |------BB|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 313 25 [2800998]: mask |--------|--------|--------|--------|--BB----|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 132 36 [2516399]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|BB------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  4  4 [2720696]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|BB------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 314 26 [2800999]: mask |--------|--------|--------|--------|----BB--|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 133 37 [2516400]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--BB----||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 213 21 [2739915]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--BB----|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 134 38 [2516401]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|----BB--||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  5  5 [2720697]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--BB----|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 135 39 [2516402]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|------BB||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 315 27 [2801000]: mask |--------|--------|--------|--------|------BB|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 214 22 [2739916]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|----BB--|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 136 40 [2516403]: mask |--------|--------|--------|--------|--------|BB------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  6  6 [2720698]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|----BB--|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 137 41 [2516404]: mask |--------|--------|--------|--------|--------|--BB----|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 316 28 [2801001]: mask |--------|--------|--------|--------|--------|--------|--------|BB------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  7  7 [2720699]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|------BB|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 138 42 [2516405]: mask |--------|--------|--------|--------|--------|----BB--|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 215 23 [2739917]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|------BB|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 139 43 [2516406]: mask |--------|--------|--------|--------|--------|------BB|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 317 29 [2801002]: mask |--------|--------|--------|--------|--------|--------|--------|--BB----|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  8  8 [2720700]: mask |--------|--------|--------|BB------|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 140 44 [2516407]: mask |--------|--------|--------|--------|--------|--------|--------|--------|BB------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 141 45 [2516408]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--BB----|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 216 24 [2739918]: mask |--------|--------|--------|--------|BB------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task  9  9 [2720701]: mask |--------|--------|--------|--BB----|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 142 46 [2516409]: mask |--------|--------|--------|--------|--------|--------|--------|--------|----BB--|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 318 30 [2801003]: mask |--------|--------|--------|--------|--------|--------|--------|----BB--|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task 10 10 [2720702]: mask |--------|--------|--------|----BB--|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 143 47 [2516410]: mask |--------|--------|--------|--------|--------|--------|--------|--------|------BB|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1303, task 217 25 [2739919]: mask |--------|--------|--------|--------|--BB----|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1304, task 319 31 [2801004]: mask |--------|--------|--------|--------|--------|--------|--------|------BB|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1302, task 144 48 [2516411]: mask |--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------||||BB------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
cpu-bind=MASK - cn1301, task 11 11 [2720703]: mask |--------|--------|--------|------BB|--------|--------|--------|--------|--------|--------|--------|--------||||--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|  set
